weight,height,Diet
60,1.78,0
120,1.78,3
71.95,1.79,0
97,1.5,3
66.43,1.86,0
118,1.88,3
74,1.54,3
80,1.61,3
88,1.66,3
77.5,1.81,0
75,1.62,2
63,1.85,0
111,1.68,3
118,1.58,3
100,1.55,3
58.3,1.88,0
55,1.65,0
58,1.54,0
119,1.6,3
94.5,1.89,2
51,1.8,0
50,1.7,0
80,1.68,2
117,1.81,3
59.5,1.61,0
84,1.87,0
70,1.66,2
67,1.53,2
72.9,1.71,0
90.26,1.89,2
64,1.6,1
59.8,1.56,0
78.7,1.77,2
117.65,1.67,3
64,1.82,0
92,1.81,2
73.9,1.62,2
63.6,1.58,2
63.78,1.6,0
72.65,1.79,0
87.67,1.64,3
110.31,1.72,3
73.76,1.74,0
82.2,1.74,2
108.61,1.71,3
64.55,1.74,0
75.38,1.69,2
60.64,1.55,2
72.6,1.78,0
80,1.53,3
54,1.68,0
60,1.55,0
80,1.85,0
60,1.58,0
40,1.42,0
58,1.45,2
90,1.82,2
42,1.4,0
125,1.9,3
55,1.5,0
75,1.65,2
81,1.78,2
100,1.8,3
30,1.35,0
59,1.54,0
68,1.56,2
50,1.48,0
60,1.6,0
80,1.95,0
105,1.88,2
42,1.42,0
55,1.47,2
90,1.84,2
43,1.43,0
94,1.9,2
66,1.62,2
78,1.75,2
85,1.79,2
135,1.97,3
33,1.32,0
57,1.56,0
78,1.74,2
68,1.74,0
63,1.63,0
84,1.9,0
55,1.66,0
78,1.75,2
89,1.9,0
115,1.97,2
63,1.68,0
97,1.86,2
76,1.66,2
80,1.74,2
53,1.52,0
74,1.72,2
66,1.62,2
108,1.85,3
105,1.79,3
65,1.67,0
83,1.92,0
107,1.45,3
117,2.11,2
100,2.15,0
84,2.19,0
61,2.1,0
67,2.21,0
91,2.03,0
103,1.47,3
56,2.12,0
107,1.52,3
69,1.58,2
119,1.86,3
55,1.75,0
108,2.08,0
71,2.29,0
50,1.51,0
63,1.88,0
89,2.09,0
82,2.01,0
114,2.09,2
94,1.83,2
94,2.24,0
66,1.46,3
46,1.84,0
40,2.12,0
51,1.87,0
54,1.71,0
54,1.85,0
75,2.26,0
87,1.99,0
41,1.49,0
82,1.69,2
108,2.01,2
95,1.72,3
89,1.64,3
116,2.29,0
81,1.52,3
97,1.57,3
55,1.9,0
117,1.92,3
108,2.28,0
120,2.29,0
102,2.12,0
58,1.83,0
107,1.65,3
67,2.02,0
98,2.06,0
48,1.49,0
74,1.8,0
55,1.44,2
101,2.01,0
84,1.64,3
43,1.64,0
45,1.96,0
97,2.19,0
92,2.12,0
72,1.89,0
79,1.64,2
42,2.26,0
62,1.61,0
111,1.62,3
91,1.95,0
71,1.97,0
49,2.02,0
53,2.26,0
110,1.59,3
95,1.54,3
42,1.85,0
109,1.84,3
120,1.41,3
60,2.28,0
88,1.9,0
118,2.15,2
78,1.46,3
42,2,0
46,1.7,0
57,2.14,0
65,2.2,0
59,2.25,0
44,1.87,0
109,1.68,3
71,1.66,2
120,1.94,3
56,1.5,0
61,1.74,0
70,1.45,3
94,2.2,0
118,2.07,2
103,2.23,0
109,1.7,3
107,2.12,0
71,1.48,3
94,2.15,0
86,1.7,2
81,1.9,0
102,1.87,2
112,1.75,3
110,1.8,3
82,1.7,2
86,1.42,3
46,1.67,0
117,1.67,3
63,2.05,0
98,1.82,2
105,1.78,3
104,1.53,3
65,2.19,0
116,1.66,3
40,1.99,0
57,1.44,2
75,1.55,3
59,1.92,0
114,1.6,3
46,1.81,0
94,2.28,0
58,1.88,0
83,1.57,3
56,1.72,0
72,1.75,0
99,1.51,3
78,1.83,0
71,1.41,3
89,2,0
109,2.14,0
93,1.58,3
75,1.61,2
117,1.49,3
111,2.29,0
78,1.92,0
62,1.54,2
118,1.99,2
115,2.1,2
50,2.2,0
92,1.92,0
52,2.26,0
43,2.24,0
54,1.82,0
92,1.44,3
52,1.59,0
86,1.92,0
109,2.29,0
119,1.8,3
81,2.05,0
102,1.99,2
65,1.73,0
77,1.7,2
86,1.74,2
88,2.15,0
114,1.72,3
92,1.78,2
116,2.15,2
102,2.14,0
118,1.45,3
77,1.88,0
78,1.7,2
46,2.27,0
51,2.06,0
72,1.99,0
116,2.27,0
84,2.18,0
69,1.94,0
90,1.72,3
80,2.28,0
80,1.93,0
116,1.68,3
95,2.17,0
56,1.78,0
95,2.26,0
116,1.96,3
43,1.88,0
84,2.25,0
100,1.5,3
112,2.21,0
107,2.19,0
98,2.07,0
99,1.8,3
59,2.29,0
83,1.47,3
40,2,0
101,2.15,0
50,1.85,0
110,1.88,3
85,2.22,0
44,1.43,0
55,2.14,0
106,1.8,3
57,1.83,0
120,1.48,3
101,1.57,3
100,2.23,0
74,2.27,0
89,1.95,0
98,1.9,2
116,2.16,0
59,2.15,0
115,1.88,3
55,1.65,0
91,2.09,0
85,1.85,0
59,1.93,0
46,2.11,0
55,2.24,0
49,2.08,0
119,2.09,2
118,1.42,3
84,1.48,3
70,1.66,2
106,1.52,3
90,2.04,0
79,1.69,2
53,1.44,2
110,1.69,3
42,1.96,0
56,2.06,0
110,2.29,0
108,2.23,0
41,2.04,0
92,2.1,0
115,1.64,3
68,1.82,0
72,1.86,0
61,1.4,3
89,2.15,0
110,1.98,2
46,1.82,0
114,1.87,3
102,1.69,3
108,2.12,0
61,1.88,0
83,1.44,3
102,1.97,2
85,1.77,2
117,2.28,0
92,1.62,3
52,2.02,0
95,2.18,0
120,1.74,3
49,1.95,0
58,2.06,0
116,1.54,3
62,1.99,0
112,1.84,3
87,1.83,2
95,1.84,2
99,1.4,3
73,1.49,3
85,2.08,0
53,1.93,0
49,2.25,0
75,2.1,0
108,2.01,2
50,1.91,0
71,1.65,2
63,2,0
52,1.61,0
49,2.28,0
55,1.49,0
98,1.82,2
79,1.63,2
115,1.76,3
73,1.76,0
48,2.16,0
73,2.29,0
40,1.73,0
85,1.53,3
71,1.68,2
79,1.55,3
73,2.14,0
118,1.59,3
52,2.17,0
114,1.81,3
81,2.06,0
118,1.97,3
55,1.92,0
67,1.83,0
51,1.93,0
80,2.27,0
97,1.73,3
103,2.12,0
60,1.44,2
101,2.17,0
73,1.4,3
52,1.76,0
73,1.98,0
41,2.16,0
102,1.72,3
101,1.86,2
120,1.42,3
97,1.67,3
88,1.58,3
57,2.12,0
110,1.48,3
109,2.21,0
107,1.93,2
69,1.52,2
93,1.65,3
72,1.63,2
46,2.11,0
97,1.85,2
100,1.87,2
97,1.91,2
102,1.43,3
51,1.71,0
98,1.44,3
74,1.96,0
108,1.59,3
97,1.4,3
110,1.98,2
88,1.53,3
96,2.27,0
114,1.6,3
102,1.92,2
97,2.02,0
102,2.02,0
67,2.1,0
73,1.98,0
92,1.56,3
53,1.71,0
69,1.63,2
80,2.29,0
67,1.4,3
111,2.05,2
91,1.72,3
85,2.27,0
44,2.21,0
65,1.43,3
97,1.52,3
60,1.5,2
108,1.45,3
95,2.01,0
47,2.16,0
49,1.51,0
44,1.56,0
67,1.5,2
91,1.77,2
99,2.14,0
84,2.13,0
93,1.42,3
97,1.69,3
48,1.99,0
50,1.62,0
69,1.66,2
98,1.73,3
70,1.57,2
86,1.83,2
106,2.16,0
77,2,0
109,1.46,3
52,1.4,2
49,1.73,0
107,1.75,3
84,1.55,3
40,2.08,0
66,1.99,0
90,1.98,0
85,2.09,0
86,1.76,2
116,2.29,0
80,1.54,3
61,1.68,0
49,1.75,0
49,1.79,0
105,1.75,3
46,1.66,0
48,1.87,0
82,1.75,2
79,2.18,0
45,1.5,0
80,1.57,3
119,2.24,0
75,1.89,0
97,1.93,2
96,1.94,2
86,1.96,0
117,1.64,3
119,1.44,3
79,1.73,2
109,1.96,2
106,1.76,3
119,1.82,3
103,1.86,2
52,2.13,0
80,1.5,3
41,1.52,0
70,2.27,0
81,1.84,0
54,2.29,0
113,1.44,3
96,1.83,2
109,1.47,3
118,1.76,3
102,1.55,3
113,1.89,3
103,2.01,2
89,2.29,0
101,1.47,3
101,1.54,3
113,1.4,3
82,1.81,2
65,1.78,0
77,2.19,0
60,2.04,0
95,2.27,0
97,1.92,2
49,1.81,0
61,1.54,2
44,1.49,0
89,2.19,0
103,1.47,3
116,2.09,2
92,2.22,0
82,1.76,2
44,1.82,0
64,1.7,0
112,2.12,0
99,1.58,3
63,1.47,2
105,1.63,3
64,1.75,0
40,1.59,0
57,1.81,0
70,1.76,0
86,1.65,3
55,1.51,0
104,2.18,0
76,1.83,0
74,1.42,3
50,2.08,0
54,2.27,0
48,1.93,0
109,1.95,2
70,1.97,0
100,2.08,0
89,1.75,2
91,1.49,3
49,1.47,0
64,1.49,2
116,1.52,3
78,1.53,3
47,2.25,0
51,1.58,0
65,1.83,0
41,1.47,0
74,1.68,2
54,2.08,0
79,2.23,0
64,1.49,2
62,1.72,0
105,2.01,2
120,2.02,2
115,1.85,3
64,2.18,0
46,2.26,0
101,2.23,0
112,2.02,2
74,1.63,2
106,2.11,0
75,1.72,2
43,1.65,0
75,1.52,3
103,2.13,0
66,1.59,2
114,1.59,3
113,1.53,3
109,2.3,0
83,2.27,0
112,2.2,0
112,1.9,3
80,1.97,0
78,1.93,0
100,1.68,3
74,2.02,0
60,2.05,0
118,2.23,0
72,1.85,0
82,1.95,0
51,1.49,0
85,1.65,3
111,2.15,0
54,1.59,0
44,2.03,0
60,1.69,0
100,1.4,3
114,1.43,3
62,1.61,0
55,1.9,0
88,1.78,2
74,2.08,0
91,1.55,3
46,1.55,0
88,1.69,3
75,1.86,0
86,1.89,0
83,2.15,0
111,2.08,2
105,1.58,3
92,1.97,0
93,1.98,0
111,1.62,3
62,1.64,0
102,1.74,3
74,1.61,2
97,1.57,3
70,1.79,0
92,1.86,2
60,1.6,0
68,1.6,2
111,1.43,3
99,1.79,3
86,2.16,0
100,1.54,3
110,2.07,2
94,1.74,3
51,2.16,0
104,2.25,0
68,1.69,0
106,2.2,0
59,1.73,0
107,2.19,0
58,1.61,0
101,2.24,0
94,2.05,0
103,1.87,2
83,1.44,3
120,1.86,3
66,1.82,0
40,1.62,0
87,2.08,0
111,2,2
81,2.19,0
96,1.44,3
53,1.73,0
102,2.27,0
77,1.9,0
77,2.16,0
45,1.59,0
49,1.58,0
49,1.49,0
82,1.59,3
64,2.18,0
113,2.15,0
95,2.15,0
65,1.82,0
116,1.98,2
86,1.53,3
96,2.16,0
107,2.2,0
45,2.29,0
83,1.64,3
79,2.14,0
100,2.26,0
79,1.75,2
71,1.73,0
87,1.63,3
119,1.92,3
99,1.55,3
51,2.05,0
118,1.94,3
82,1.68,2
62,1.52,2
81,1.57,3
45,1.78,0
101,1.9,2
109,2.19,0
41,1.9,0
112,1.65,3
64,1.69,0
62,1.76,0
106,1.86,3
119,1.96,3
120,1.57,3
99,2.25,0
85,1.59,3
106,1.63,3
61,2.21,0
49,1.75,0
49,1.64,0
100,1.45,3
107,1.6,3
80,1.67,2
87,2.28,0
60,1.61,0
102,2.3,0
45,2,0
68,1.86,0
91,2.08,0
89,2.02,0
59,1.54,0
113,2.03,2
44,1.44,0
65,1.83,0
62,1.66,0
80,1.49,3
107,1.57,3
72,1.54,3
120,1.49,3
54,2.16,0
116,2.1,2
43,1.62,0
110,1.64,3
120,2.11,2
119,1.76,3
91,1.55,3
54,1.51,0
50,1.81,0
61,1.75,0
102,1.69,3
98,1.41,3
119,2.16,2
43,1.7,0
97,1.45,3
114,1.54,3
80,1.98,0
74,2.16,0
103,2.25,0
50,1.64,0
116,1.55,3
81,1.9,0
41,2.03,0
114,1.62,3
63,1.67,0
87,1.99,0
67,1.45,3
104,2.24,0
113,1.63,3
73,1.7,2
90,1.83,2
113,1.84,3
59,1.72,0
97,1.67,3
89,1.74,2
85,1.9,0
115,1.45,3
80,1.87,0
42,1.41,0
115,2.07,2
102,1.45,3
59,1.69,0
76,1.79,0
112,1.74,3
53,1.81,0
70,2.28,0
52,1.6,0
44,1.5,0
104,1.79,3
62,2.3,0
73,2.19,0
59,1.74,0
65,1.65,0
54,1.91,0
44,2.27,0
72,1.47,3
48,1.5,0
55,1.57,0
83,1.71,2
79,2.3,0
67,1.51,2
112,2.04,2
72,2.11,0
105,1.48,3
105,1.89,2
82,1.73,2
84,2.22,0
62,1.64,0
51,2.18,0
110,2.15,0
116,2.27,0
117,1.57,3
105,1.45,3
105,1.48,3
78,1.97,0
115,1.55,3
74,1.45,3
104,1.88,2
116,2.19,0
95,1.69,3
85,1.87,0
65,2.06,0
43,2.15,0
95,1.54,3
96,2.3,0
49,2.16,0
45,2.13,0
97,1.72,3
42,2.07,0
113,2.12,2
41,1.8,0
94,1.59,3
100,2.07,0
97,1.62,3
90,1.56,3
115,2.16,0
52,1.83,0
77,1.68,2
71,2.02,0
87,1.48,3
103,1.75,3
103,2.09,0
86,1.99,0
64,1.88,0
51,1.41,2
85,2.16,0
116,1.98,2
40,1.74,0
90,1.63,3
103,1.89,2
57,1.58,0
89,2.1,0
40,1.83,0
85,1.9,0
63,1.82,0
117,1.59,3
67,2.2,0
91,1.52,3
65,1.85,0
114,1.73,3
64,2.03,0
98,1.46,3
96,1.69,3
99,2.2,0
51,2.24,0
71,2.08,0
81,2,0
112,2.12,0
93,1.55,3
56,1.94,0
72,1.54,3
54,2.25,0
72,1.82,0
48,1.64,0
99,1.7,3
49,1.98,0
78,1.95,0
80,1.68,2
65,1.63,0
92,2.25,0
76,1.86,0
54,1.44,2
76,2.04,0
111,1.95,2
76,2.1,0
89,2.06,0
102,1.88,2
75,2.13,0
67,1.46,3
107,1.63,3
65,2.01,0
51,1.77,0
95,1.46,3
115,1.9,3
53,2.07,0
52,2.11,0
60,1.65,0
97,1.52,3
99,1.85,2
51,1.73,0
91,1.68,3
55,1.52,0
85,2.01,0
47,1.52,0
102,2.11,0
79,2.07,0
100,2.22,0
40,1.66,0
40,1.73,0
44,2.16,0
77,1.71,2
63,1.95,0
78,1.47,3
88,2.24,0
88,1.85,2
108,2.25,0
42,2.04,0
109,2.23,0
87,1.78,2
45,2.04,0
45,1.92,0
51,1.75,0
70,1.51,3
115,2.24,0
59,2.17,0
41,2.16,0
120,2.3,0
65,1.8,0
58,1.52,2
86,2.01,0
56,1.91,0
49,1.64,0
64,2.04,0
90,1.63,3
93,1.54,3
99,1.51,3
80,2.2,0
50,1.68,0
90,2.09,0
113,1.67,3
60,2.06,0
94,1.7,3
100,2.05,0
62,1.46,2
101,1.49,3
47,2.3,0
43,1.84,0
110,2.19,0
40,1.74,0
74,1.67,2
65,2,0
77,1.74,2
43,1.6,0
51,1.47,0
95,2.22,0
117,1.74,3
120,2.3,0
42,1.61,0
81,1.93,0
64,1.66,0
114,2.23,0
57,2.11,0
102,2.3,0
43,1.73,0
85,1.89,0
110,1.96,2
103,1.41,3
94,1.87,2
55,2.17,0
64,2.24,0
73,1.92,0
96,1.68,3
50,1.5,0
55,1.93,0
117,2.18,0
111,1.72,3
52,2.24,0
48,1.46,0
56,2.13,0
78,2.09,0
87,1.63,3
118,1.47,3
45,1.47,0
48,1.53,0
66,1.71,0
53,1.6,0
69,2.14,0
40,1.87,0
70,2.15,0
73,1.64,2
91,1.57,3
116,1.7,3
104,2,2
109,2.19,0
53,1.71,0
102,2.11,0
82,2.16,0
99,2.11,0
94,1.68,3
52,2.28,0
101,1.74,3
88,1.81,2
98,1.8,3
102,1.42,3
94,1.77,3
49,2.2,0
65,2.28,0
76,1.49,3
43,1.73,0
47,1.99,0
83,1.9,0
69,2.14,0
105,1.81,3
102,1.57,3
48,1.95,0
47,1.77,0
94,1.76,3
88,1.74,2
90,1.87,2
71,2.08,0
105,2.08,0
50,2.1,0
105,2.02,2
64,1.8,0
61,2.02,0
101,1.58,3
54,1.9,0
101,1.42,3
91,1.59,3
110,1.48,3
79,1.81,0
87,1.65,3
87,1.59,3
103,1.73,3
97,2.24,0
107,2.07,0
64,1.5,2
89,1.66,3
57,1.57,0
58,2.04,0
71,1.74,0
79,2.26,0
53,1.93,0
47,2.05,0
62,1.84,0
94,2.01,0
50,1.54,0
65,1.94,0
71,2.13,0
96,1.99,0
83,1.97,0
70,2.15,0
89,1.76,2
44,1.99,0
64,2.28,0
88,1.51,3
64,1.44,3
94,1.62,3
47,1.45,0
59,1.97,0
92,1.45,3
113,2.09,2
101,2.12,0
105,2.02,2
46,1.73,0
78,1.41,3
91,1.75,2
108,2.12,0
43,1.91,0
86,2.24,0
52,1.82,0
59,1.5,2
92,1.5,3
78,2.24,0
50,2.07,0
44,2.25,0
114,1.54,3
85,1.84,2
46,2.3,0
99,1.42,3
63,1.79,0
47,1.55,0
62,1.99,0
100,1.43,3
57,1.57,0
105,2.24,0
105,1.56,3
59,1.9,0
52,1.75,0
99,2.1,0
79,1.84,0
59,1.97,0
88,2.19,0
82,1.58,3
115,1.61,3
73,2.21,0
105,2.27,0
54,2.18,0
65,1.69,0
93,2.09,0
78,2.12,0
48,2.2,0
59,1.85,0
63,2.26,0
59,2.29,0
48,1.78,0
83,1.8,2
55,1.79,0
118,2.3,0
118,2.29,0
88,2.25,0
110,1.51,3
45,2.05,0
52,2.14,0
51,1.74,0
95,1.55,3
82,1.89,0
107,1.89,2
68,1.98,0
93,1.74,3
61,2.22,0
109,1.6,3
69,2.13,0
119,1.5,3
73,1.74,0
75,1.58,3
113,1.66,3
98,2.21,0
62,2.26,0
105,2.23,0
50,1.45,0
110,2.04,2
108,1.52,3
90,2.05,0
115,1.76,3
68,1.73,0
86,1.94,0
98,2.12,0
86,2.02,0
50,1.9,0
45,2,0
51,2.12,0
62,2.03,0
97,1.42,3
88,1.64,3
89,1.54,3
71,1.74,0
51,1.94,0
47,1.83,0
112,1.49,3
58,1.62,0
43,2,0
44,2.16,0
98,1.46,3
80,1.67,2
114,2.06,2
43,1.76,0
102,2.21,0
50,1.84,0
52,1.69,0
91,1.86,2
45,2.01,0
83,2.1,0
93,1.92,2
68,1.57,2
119,1.7,3
77,1.82,0
82,2.24,0
117,1.51,3
74,1.82,0
83,1.77,2
78,1.7,2
51,2.2,0
65,1.64,0
100,2.01,0
76,2.05,0
69,1.84,0
59,1.5,2
87,1.9,0
116,1.85,3
87,1.99,0
70,1.42,3
94,2.06,0
64,2.11,0
98,1.47,3
81,1.66,2
95,2.04,0
103,1.88,2
85,1.64,3
53,1.71,0
74,1.47,3
73,1.8,0
111,1.7,3
71,1.59,2
57,2.1,0
87,1.96,0
81,1.97,0
71,1.57,2
95,1.68,3
41,1.44,0
54,1.96,0
70,2.04,0
100,2,1
77,2.21,0
86,1.4,3
69,1.62,2
44,1.73,0
116,1.93,3
56,1.9,0
46,1.95,0
58,2.05,0
75,1.98,0
98,2.23,0
70,2.07,0
81,1.74,2
119,1.4,3
109,2.06,2
83,1.46,3
71,1.76,0
51,1.63,0
69,2.15,0
77,1.49,3
43,1.85,0
94,1.45,3
115,1.74,3
48,2.17,0
72,2.29,0
105,2.08,0
106,2.18,0
58,1.94,0
104,2.25,0
93,1.54,3
52,1.73,0
54,1.68,0
94,1.55,3
116,1.76,3
67,1.43,3
95,1.44,3
47,2,0
72,2.3,0
58,1.63,0
116,1.86,3
77,2.27,0
54,1.45,2
85,1.69,2
56,1.4,2
105,1.44,3
53,2.09,0
87,1.68,3
77,1.89,0
75,1.52,3
42,1.78,0
105,1.43,3
66,1.74,0
111,2.16,0
53,2.1,0
40,2.21,0
57,1.79,0
98,1.99,0
57,1.4,2
70,1.81,0
42,1.91,0
112,1.54,3
42,1.83,0
55,1.91,0
115,1.65,3
41,2.22,0
70,1.71,0
113,1.74,3
51,2.01,0
92,1.49,3
116,1.96,3
56,1.63,0
86,2.09,0
78,1.65,2
82,1.76,2
119,1.69,3
109,1.6,3
50,1.92,0
53,2.04,0
86,1.65,3
59,1.63,0
59,1.78,0
108,1.69,3
41,2.08,0
102,1.52,3
46,1.51,0
51,1.96,0
61,1.7,0
48,1.4,0
102,1.74,3
71,1.51,3
54,1.91,0
45,1.89,0
108,2.11,0
92,2.21,0
70,2.23,0
93,1.63,3
81,1.53,3
97,2.22,0
46,2.12,0
56,2.08,0
66,1.82,0
109,1.91,2
57,1.62,0
40,1.92,0
94,1.66,3
83,1.84,0
119,1.85,3
49,2.06,0
43,1.5,0
100,2.21,0
49,2.23,0
83,2.26,0
112,1.75,3
78,1.92,0
98,1.65,3
86,1.88,0
56,1.5,0
98,2.14,0
119,2.3,0
111,1.45,3
96,1.45,3
99,1.65,3
103,1.84,3
69,1.52,2
113,2.01,2
67,1.77,0
100,1.47,3
70,2.22,0
74,1.74,0
104,2,2
120,1.9,3
58,2.15,0
43,1.97,0
41,1.48,0
85,2.08,0
99,2.19,0
98,1.96,2
55,1.71,0
42,1.96,0
102,1.45,3
113,2.18,0
64,1.95,0
100,1.74,3
70,1.41,3
64,1.48,2
114,1.99,2
99,2.25,0
83,1.88,0
80,2.28,0
72,1.99,0
55,2.26,0
50,1.87,0
105,1.81,3
80,1.73,2
98,1.53,3
116,2.09,2
101,2.13,0
72,2.28,0
49,1.94,0
110,2.24,0
104,1.82,3
73,1.5,3
54,1.98,0
67,2.14,0
77,1.57,3
50,1.48,0
109,2.27,0
84,1.6,3
50,1.87,0
42,1.5,0
79,1.55,3
46,1.49,0
77,2.04,0
81,2.18,0
83,1.9,0
43,2.3,0
85,2.2,0
114,1.53,3
116,1.4,3
117,2.27,0
58,1.73,0
104,1.46,3
106,1.68,3
89,1.53,3
46,1.68,0
75,2.02,0
75,1.63,2
87,1.65,3
79,1.61,3
49,1.57,0
47,1.88,0
98,1.98,0
73,1.82,0
118,1.56,3
80,2.03,0
109,2.24,0
45,1.56,0
64,2.06,0
110,1.82,3
110,2.21,0
120,2.16,2
109,2.03,2
46,1.93,0
104,2.02,2
104,2.02,2
57,2.2,0
107,1.58,3
60,1.47,2
66,1.63,0
95,1.52,3
94,1.84,2
65,1.88,0
41,2.26,0
78,1.64,2
100,1.93,2
104,1.45,3
46,1.97,0
77,1.55,3
53,2.02,0
100,1.64,3
116,1.8,3
120,1.46,3
103,1.96,2
83,2.05,0
105,2.13,0
84,1.5,3
61,1.79,0
97,1.67,3
104,1.49,3
44,1.64,0
50,1.48,0
110,1.65,3
77,2.01,0
46,1.95,0
68,2.16,0
43,1.58,0
52,1.87,0
53,1.77,0
93,2.18,0
85,1.52,3
91,1.92,0
73,1.68,2
100,2.23,0
44,2.03,0
104,2.15,0
59,1.8,0
98,2.14,0
47,1.8,0
54,2.02,0
102,1.83,3
49,1.62,0
76,2.21,0
50,1.53,0
84,1.52,3
118,2.2,0
99,1.72,3
65,1.78,0
59,1.93,0
65,1.65,0
51,1.59,0
70,1.74,0
76,1.89,0
57,1.87,0
120,1.67,3
56,1.81,0
106,1.68,3
66,2.05,0
51,1.45,0
46,1.65,0
40,1.76,0
64,1.62,0
101,2.03,0
66,1.9,0
116,1.78,3
87,1.86,2
117,2.19,0
85,1.97,0
98,2.1,0
55,1.92,0
115,1.89,3
97,1.75,3
76,2.06,0
40,1.75,0
